Metric;Old;New
Accuracy;78.62%;78.62%
TP.Rate;0.786;0.786
FP.Rate;0.467;0.467
Precision;0.772;0.772
Recall;0.786;0.786
F-Measure;0.765;0.765
ROC-curve;0.789;0.789
