Algorithm;Accuracy;TP.Rate;FP.Rate;Precision;Recall;F-Measure;ROC-Area
ZeroR;50.08%;0.501;0.501;?;0.501;?;0.500
OneR;53.14%;0.53;0.36;0.47;0.53;0.47;0.58
J48/C4.5;52.57% (*);0.53;0.31;0.49;0.53;0.50;0.62
Naïve Bayes;51.20% (v);0.51;0.27;0.50;0.51;0.51;0.69
IBk;42.55% (*);0.43;0.32;0.42;0.43;0.42;0.55
Simple Logistics;56.47% (v);0.56;0.32;0.52;0.56;0.52;0.73
Random Tree;45.47% (*);0.45;0.30;0.45;0.45;0.45;0.58
