Algorithm;Accuracy;TP.Rate;FP.Rate;Precision;Recall;F-Measure;ROC-Area
ZeroR;17.82%;0.18;0.18;0;0.18;0;0.50
OneR;20.79% (v);0.21;0.15;0.17;0.21;0.17;0.53
J48/C4.5;19.55% (v);0.20;0.12;0.18;0.20;0.18;0.55
Naïve Bayes;20.76% (v);0.21;0.12;0.19;0.21;0.20;0.65
IBk;16.16% (*);0.16;0.12;0.16;0.16;0.16;0.52
Simple Logistics;23.60% (v);0.24 ;0.14;0.20;0.24;0.20;0.68
Random Tree;17.20% (*);0.17;0.12;0.17;0.17;0.17;0.53
